"sentences","reduction","netzero","error","filename"
1870,9,1,5,"EQT_24_processed.csv"
160,0,0,0,"ETR_10_processed.csv"
10247,34,0,5,"ETR_11_processed.csv"
12403,40,0,9,"ETR_12_processed.csv"
10663,19,0,11,"ETR_13_processed.csv"
6815,2,0,3,"ETR_14_processed.csv"
6847,2,0,3,"ETR_15_processed.csv"
6885,1,0,5,"ETR_16_processed.csv"
7009,4,0,4,"ETR_17_processed.csv"
6933,3,0,3,"ETR_18_processed.csv"
6822,4,0,2,"ETR_19_processed.csv"
11158,13,2,6,"ETR_20_processed.csv"
6208,5,6,2,"ETR_21_processed.csv"
6356,4,7,3,"ETR_22_processed.csv"
6993,10,11,8,"ETR_23_processed.csv"
6979,6,10,11,"ETR_24_processed.csv"
4684,48,1,0,"EXC_10_processed.csv"
4607,46,1,0,"EXC_11_processed.csv"
5114,49,2,0,"EXC_12_processed.csv"
5232,54,2,0,"EXC_13_processed.csv"
5397,57,2,0,"EXC_14_processed.csv"
5680,68,3,0,"EXC_15_processed.csv"
5077,53,2,0,"EXC_16_processed.csv"
5800,63,1,0,"EXC_17_processed.csv"
7067,72,0,0,"EXC_18_processed.csv"
6049,21,2,0,"EXC_19_processed.csv"
7395,31,3,6,"EXC_20_processed.csv"
4098,14,1,3,"EXC_21_processed.csv"
3609,19,5,1,"EXC_22_processed.csv"
2652,24,4,1,"EXC_23_processed.csv"
2709,23,5,1,"EXC_24_processed.csv"
7681,20,2,42,"F_10_processed.csv"
7531,9,0,2,"F_11_processed.csv"
2848,7,0,0,"F_12_processed.csv"
2647,6,0,0,"F_13_processed.csv"
2556,5,0,0,"F_14_processed.csv"
2263,5,0,0,"F_15_processed.csv"
2146,5,0,0,"F_16_processed.csv"
2079,4,0,0,"F_17_processed.csv"
2093,4,0,0,"F_18_processed.csv"
2063,6,0,0,"F_19_processed.csv"
4100,11,2,1,"F_20_processed.csv"
3437,2,0,3,"FCX_10_processed.csv"
5418,11,0,0,"FCX_11_processed.csv"
3020,2,0,0,"FCX_12_processed.csv"
3606,1,0,0,"FCX_14_processed.csv"
3640,0,0,0,"FCX_16_processed.csv"
3323,1,0,0,"FCX_17_processed.csv"
3012,1,1,0,"FCX_23_processed.csv"
2952,5,1,0,"FCX_24_processed.csv"
5823,27,0,0,"AEE_17_processed.csv"
3008,10,0,0,"AEE_18_processed.csv"
2997,6,1,0,"AEE_19_processed.csv"
2997,6,1,0,"AEE_19_processed.csv"
4593,14,5,5,"AEE_20_processed.csv"
2546,5,4,0,"AEE_21_processed.csv"
2617,9,3,0,"AEE_22_processed.csv"
1512,7,0,3,"AEP_10_processed.csv"
1609,7,0,0,"AEP_11_processed.csv"
1606,6,0,0,"AEP_12_processed.csv"
1578,8,0,0,"AEP_13_processed.csv"
1643,3,0,0,"AEP_14_processed.csv"
1488,1,0,0,"AEP_15_processed.csv"
1470,4,0,0,"AEP_16_processed.csv"
1498,4,0,0,"AEP_17_processed.csv"
1569,5,0,0,"AEP_18_processed.csv"
1577,3,0,0,"AEP_19_processed.csv"
2485,10,2,2,"AEP_20_processed.csv"
4354,8,3,1,"AEP_21_processed.csv"
4400,11,2,5,"AEP_22_processed.csv"
2558,6,0,0,"ATO_10_processed.csv"
2598,5,0,0,"ATO_11_processed.csv"
1623,0,0,0,"ATO_12_processed.csv"
1550,0,0,0,"ATO_13_processed.csv"
1535,0,0,0,"ATO_14_processed.csv"
1412,0,0,0,"ATO_15_processed.csv"
1437,0,0,0,"ATO_16_processed.csv"
1291,0,0,0,"ATO_17_processed.csv"
1391,0,0,0,"ATO_18_processed.csv"
1345,0,0,0,"ATO_19_processed.csv"
2067,5,0,0,"ATO_20_processed.csv"
1182,0,0,0,"ATO_21_processed.csv"
1161,0,0,0,"ATO_22_processed.csv"
1982,0,0,0,"CAG_10_processed.csv"
1954,0,0,0,"CAG_11_processed.csv"
1366,0,0,0,"CAG_12_processed.csv"
1645,0,0,0,"CAG_13_processed.csv"
1733,0,0,0,"CAG_14_processed.csv"
1681,0,0,0,"CAG_15_processed.csv"
1616,0,0,0,"CAG_16_processed.csv"
1743,0,0,0,"CAG_17_processed.csv"
1862,1,0,1,"CAG_18_processed.csv"
1774,0,0,1,"CAG_19_processed.csv"
1760,0,0,1,"CAG_20_processed.csv"
1520,0,0,1,"CAG_21_processed.csv"
1465,0,0,1,"CAG_22_processed.csv"
1876,2,0,0,"HES_10_processed.csv"
2138,2,0,0,"HES_11_processed.csv"
1413,0,0,0,"HES_12_processed.csv"
1419,1,0,0,"HES_13_processed.csv"
1615,0,0,0,"HES_14_processed.csv"
1650,1,0,0,"HES_15_processed.csv"
1681,0,0,0,"HES_16_processed.csv"
1658,1,0,0,"HES_17_processed.csv"
1665,1,0,0,"HES_18_processed.csv"
1673,1,0,0,"HES_19_processed.csv"
1672,0,0,0,"HES_20_processed.csv"
1590,0,0,0,"HES_21_processed.csv"
1602,2,1,0,"HES_22_processed.csv"
2932,0,0,0,"L_10_processed.csv"
2595,0,0,0,"L_11_processed.csv"
2565,0,0,0,"L_12_processed.csv"
2438,0,0,0,"L_13_processed.csv"
2492,0,0,0,"L_14_processed.csv"
2348,0,0,0,"L_15_processed.csv"
2348,1,0,0,"L_16_processed.csv"
2314,1,1,0,"L_17_processed.csv"
2306,0,0,0,"L_18_processed.csv"
2366,1,0,0,"L_19_processed.csv"
10244,4,0,0,"L_20_processed.csv"
3078,1,1,0,"L_21_processed.csv"
2224,4,2,0,"L_22_processed.csv"
3898,1,0,3,"MMM_10_processed.csv"
3653,4,0,0,"MMM_11_processed.csv"
3823,2,0,0,"MMM_12_processed.csv"
3683,2,0,0,"MMM_13_processed.csv"
3594,3,0,1,"MMM_14_processed.csv"
3525,6,0,0,"MMM_15_processed.csv"
2998,4,0,2,"MMM_16_processed.csv"
3250,7,0,2,"MMM_17_processed.csv"
3420,4,0,2,"MMM_18_processed.csv"
3365,4,0,2,"MMM_19_processed.csv"
5031,2,0,0,"MMM_20_processed.csv"
5155,0,0,1,"MMM_21_processed.csv"
1957,2,0,0,"MMM_22_processed.csv"
369,1,0,0,"NUE_10_processed.csv"
316,0,0,0,"NUE_11_processed.csv"
384,1,0,0,"NUE_12_processed.csv"
417,0,0,0,"NUE_13_processed.csv"
433,0,0,0,"NUE_14_processed.csv"
446,0,0,0,"NUE_15_processed.csv"
457,1,0,0,"NUE_16_processed.csv"
451,1,0,0,"NUE_17_processed.csv"
886,0,0,0,"NUE_18_processed.csv"
888,0,0,0,"NUE_19_processed.csv"
1403,0,0,0,"NUE_20_processed.csv"
1477,0,0,0,"NUE_21_processed.csv"
1546,2,1,0,"NUE_22_processed.csv"
3700,11,0,2,"OI_10_processed.csv"
1289,1,0,0,"OI_11_processed.csv"
1341,0,0,0,"OI_12_processed.csv"
1370,0,0,0,"OI_13_processed.csv"
1304,0,0,0,"OI_14_processed.csv"
1226,0,0,0,"OI_15_processed.csv"
3272,5,0,2,"OI_16_processed.csv"
3240,9,0,0,"OI_17_processed.csv"
2264,2,0,0,"OI_18_processed.csv"
2254,3,0,1,"OI_19_processed.csv"
3639,0,0,6,"OI_20_processed.csv"
3689,0,0,3,"OI_21_processed.csv"
3751,0,3,3,"OI_22_processed.csv"
1095,0,0,0,"PFE_10_processed.csv"
1262,2,0,0,"PFE_11_processed.csv"
887,0,0,0,"PFE_12_processed.csv"
1137,0,0,0,"PFE_13_processed.csv"
1130,0,0,0,"PFE_14_processed.csv"
1025,0,0,0,"PFE_15_processed.csv"
1172,0,0,0,"PFE_16_processed.csv"
1150,0,0,0,"PFE_17_processed.csv"
1231,2,0,0,"PFE_18_processed.csv"
1331,2,0,0,"PFE_19_processed.csv"
2312,2,0,0,"PFE_20_processed.csv"
2143,0,0,2,"PFE_21_processed.csv"
2167,0,0,3,"PFE_22_processed.csv"
1536,5,0,0,"PPG_10_processed.csv"
1519,6,0,0,"PPG_11_processed.csv"
1641,6,0,0,"PPG_12_processed.csv"
4693,16,0,0,"PPG_13_processed.csv"
4051,6,0,0,"PPG_14_processed.csv"
3911,6,0,0,"PPG_15_processed.csv"
3900,5,0,0,"PPG_16_processed.csv"
3964,5,0,0,"PPG_17_processed.csv"
1571,2,0,0,"PPG_18_processed.csv"
1417,2,0,0,"PPG_19_processed.csv"
2226,2,0,1,"PPG_20_processed.csv"
1328,1,0,0,"PPG_21_processed.csv"
1261,1,0,0,"PPG_22_processed.csv"
2200,2,0,0,"PXD_10_processed.csv"
2071,3,0,0,"PXD_11_processed.csv"
2079,0,0,0,"PXD_12_processed.csv"
2147,0,0,0,"PXD_13_processed.csv"
2195,0,0,0,"PXD_14_processed.csv"
2060,1,0,0,"PXD_15_processed.csv"
2100,2,0,0,"PXD_16_processed.csv"
2085,1,0,0,"PXD_17_processed.csv"
1984,3,0,0,"PXD_18_processed.csv"
1919,2,0,0,"PXD_19_processed.csv"
1733,1,0,0,"PXD_20_processed.csv"
1878,1,0,1,"PXD_21_processed.csv"
1970,4,3,1,"PXD_22_processed.csv"
1846,3,0,0,"SD_10_processed.csv"
1922,0,0,0,"SD_11_processed.csv"
2235,1,0,0,"SD_12_processed.csv"
2545,0,0,0,"SD_13_processed.csv"
2309,0,0,0,"SD_14_processed.csv"
2394,0,0,0,"SD_15_processed.csv"
2586,2,0,0,"SD_16_processed.csv"
2051,0,0,0,"SD_17_processed.csv"
1972,1,0,0,"SD_18_processed.csv"
1787,1,0,0,"SD_19_processed.csv"
1541,1,0,0,"SD_20_processed.csv"
1476,1,1,0,"SD_21_processed.csv"
1423,1,0,0,"SD_22_processed.csv"
1073,4,0,0,"STLD_10_processed.csv"
1034,2,0,0,"STLD_11_processed.csv"
1016,3,0,0,"STLD_12_processed.csv"
1038,2,0,0,"STLD_13_processed.csv"
1056,1,0,0,"STLD_14_processed.csv"
895,3,0,0,"STLD_15_processed.csv"
910,2,0,0,"STLD_16_processed.csv"
2097,4,0,8,"STLD_17_processed.csv"
1905,2,0,7,"STLD_18_processed.csv"
1953,2,0,4,"STLD_19_processed.csv"
2916,8,0,2,"STLD_20_processed.csv"
2977,6,0,4,"STLD_21_processed.csv"
2913,6,0,5,"STLD_22_processed.csv"
409,0,0,0,"TXN_10_processed.csv"
1054,0,0,2,"TXN_11_processed.csv"
387,0,0,0,"TXN_12_processed.csv"
418,0,0,0,"TXN_13_processed.csv"
401,0,0,0,"TXN_14_processed.csv"
1155,0,0,0,"TXN_15_processed.csv"
1074,0,0,0,"TXN_16_processed.csv"
1110,0,0,0,"TXN_17_processed.csv"
1080,0,0,0,"TXN_18_processed.csv"
1050,0,0,0,"TXN_19_processed.csv"
891,0,0,0,"TXN_20_processed.csv"
873,0,0,0,"TXN_21_processed.csv"
818,0,0,0,"TXN_22_processed.csv"
3186,2,0,0,"TXT_10_processed.csv"
4073,3,0,0,"TXT_11_processed.csv"
1359,0,0,0,"TXT_12_processed.csv"
2690,6,0,0,"TXT_13_processed.csv"
2492,5,0,3,"TXT_14_processed.csv"
2363,9,0,0,"TXT_15_processed.csv"
2204,4,0,0,"TXT_16_processed.csv"
2232,6,0,2,"TXT_17_processed.csv"
2241,6,0,1,"TXT_18_processed.csv"
