"","ticker","year","GHG","n","X","Company_Year","Reduction_Sentences"
"118","ALB",2013,298212,13,NA,NA,NA
"119","ALB",2014,277006,13,NA,NA,NA
"120","ALB",2015,261045,13,NA,NA,NA
"121","ALB",2016,232909,13,NA,NA,NA
"122","ALB",2017,237791,13,NA,NA,NA
"123","ALB",2018,239551,13,NA,NA,NA
"124","ALB",2019,242638,13,NA,NA,NA
"125","ALB",2020,238652,13,81,"Copy of Copy of ALB_20_processed.csv",3
"126","ALB",2021,230764,13,82,"Copy of Copy of ALB_21_processed.csv",1
"127","ALB",2022,236979,13,83,"Copy of Copy of ALB_22_processed.csv",2
"128","ALB",2023,NA,NA,84,"Copy of Copy of ALB_23_processed.csv",0
"129","ALE",2014,NA,NA,85,"Copy of Copy of ALE_14_processed.csv",9
"130","ALE",2015,NA,NA,86,"Copy of Copy of ALE_15_processed.csv",16
"131","ALE",2016,NA,NA,87,"Copy of Copy of ALE_16_processed.csv",12
"132","ALE",2017,NA,NA,88,"Copy of Copy of ALE_17_processed.csv",8
"133","ALEX",2010,144968,13,NA,NA,NA
"134","ALEX",2011,179152,13,NA,NA,NA
"135","ALEX",2012,169181,13,NA,NA,NA
"136","ALEX",2013,192695,13,89,"Copy of Copy of ALEX_13_processed.csv",3
"137","ALEX",2014,188545,13,90,"Copy of Copy of ALEX_14_processed.csv",2
"138","ALEX",2015,168178,13,91,"Copy of Copy of ALEX_15_processed.csv",1
"139","ALEX",2016,87643,13,92,"Copy of Copy of ALEX_16_processed.csv",0
"140","ALEX",2017,47931,13,93,"Copy of Copy of ALEX_17_processed.csv",0
"141","ALEX",2018,46984,13,NA,NA,NA
"142","ALEX",2019,79260.2,13,NA,NA,NA
"143","ALEX",2020,76420.1,13,NA,NA,NA
"144","ALEX",2021,74248.6,13,NA,NA,NA
"145","ALEX",2022,67331.4,13,NA,NA,NA
"146","ALSN",2014,NA,NA,94,"Copy of Copy of ALSN_14_processed.csv",0
"147","ALSN",2015,NA,NA,95,"Copy of Copy of ALSN_15_processed.csv",0
"148","ALSN",2016,NA,NA,96,"Copy of Copy of ALSN_16_processed.csv",0
"149","ALSN",2017,NA,NA,97,"Copy of Copy of ALSN_17_processed.csv",0
"150","ALTO",2014,NA,NA,98,"Copy of Copy of ALTO_14_processed.csv",1
"151","ALTO",2015,NA,NA,99,"Copy of Copy of ALTO_15_processed.csv",4
"152","ALTO",2016,NA,NA,100,"Copy of Copy of ALTO_16_processed.csv",0
"153","AM",2020,NA,NA,101,"Copy of Copy of AM_20_processed.csv",3
"154","AM",2021,NA,NA,102,"Copy of Copy of AM_21_processed.csv",0
"155","AMGN",2010,26422,13,103,"Copy of Copy of AMGN_10_processed.csv",0
"156","AMGN",2011,55163,13,104,"Copy of Copy of AMGN_11_processed.csv",0
"157","AMGN",2012,50560,13,NA,NA,NA
"158","AMGN",2013,50646,13,105,"Copy of Copy of AMGN_13_processed.csv",0
"159","AMGN",2014,49618,13,NA,NA,NA
"160","AMGN",2015,51503,13,NA,NA,NA
"161","AMGN",2016,49630,13,NA,NA,NA
"162","AMGN",2017,28149,13,NA,NA,NA
"163","AMGN",2018,25065,13,NA,NA,NA
"164","AMGN",2019,35994,13,NA,NA,NA
"165","AMGN",2020,49617,13,NA,NA,NA
"166","AMGN",2021,41580,13,NA,NA,NA
"167","AMGN",2022,36979,13,NA,NA,NA
"168","AMPY",2018,NA,NA,106,"Copy of Copy of AMPY_18_processed.csv",2
"169","AMPY",2019,NA,NA,107,"Copy of Copy of AMPY_19_processed.csv",4
"170","AMPY",2022,NA,NA,108,"Copy of Copy of AMPY_22_processed.csv",10
"171","AMPY",2023,NA,NA,109,"Copy of Copy of AMPY_23_processed.csv",24
"172","AMPY",2024,NA,NA,110,"Copy of Copy of AMPY_24_processed.csv",33
"173","AMR",2019,NA,NA,111,"Copy of Copy of AMR_19_processed.csv",0
"174","AMR",2020,NA,NA,112,"Copy of Copy of AMR_20_processed.csv",2
"175","AMR",2021,NA,NA,113,"Copy of Copy of AMR_21_processed.csv",0
"176","AMR",2022,NA,NA,114,"Copy of Copy of AMR_22_processed.csv",0
"177","AMR",2023,NA,NA,115,"Copy of Copy of AMR_23_processed.csv",2
"178","AMR",2024,NA,NA,116,"Copy of Copy of AMR_24_processed.csv",4
"179","AMTX",2018,NA,NA,117,"Copy of Copy of AMTX_18_processed.csv",1
"180","AMTX",2019,NA,NA,118,"Copy of Copy of AMTX_19_processed.csv",2
"181","AMTX",2020,NA,NA,119,"Copy of Copy of AMTX_20_processed.csv",2
"182","AMTX",2021,NA,NA,120,"Copy of Copy of AMTX_21_processed.csv",2
"183","AMTX",2022,NA,NA,121,"Copy of Copy of AMTX_22_processed.csv",0
"184","AMTX",2023,NA,NA,122,"Copy of Copy of AMTX_23_processed.csv",0
"185","AMTX",2024,NA,NA,123,"Copy of Copy of AMTX_24_processed.csv",2
"186","APD",2010,859226,13,NA,NA,NA
